user_genome	is_ani_classification	class_tree_mapped	classification_rule
u1041087ctg	FALSE	7	Rule 2
u1079443ctg	TRUE	6	Rule 7
u1086562ctg	FALSE	6	Rule 2
u1149710ctg	FALSE	6	Rule 2
u1231097ctg	FALSE	6	Rule 2
u1254344ctg	FALSE	8	Rule 2
u1255120ctg	FALSE	7	Rule 2
u1362141ctg	FALSE	8	Rule 2
u1362544ctg	FALSE	6	Rule 2
u1379490ctg	FALSE	7	Rule 2
u1406723ctg	TRUE	7	Rule 7
u1442673ctg	FALSE	6	Rule 2
u1505661ctg	FALSE	6	Rule 2
u1558692ctg	FALSE	6	Rule 2
u1614917ctg	FALSE	backbone	Rule 1
u1630992ctg	FALSE	6	Rule 2
u1662440ctg	FALSE	6	Rule 2
u1678369ctg	FALSE	6	Rule 2
u1778080ctg	FALSE	7	Rule 2
u1859167ctg	FALSE	7	Rule 2
u1861380ctg	FALSE	7	Rule 2
u1868123ctg	FALSE	6	Rule 2
u1896906ctg	FALSE	6	Rule 2
u1914727ctg	FALSE	6	Rule 2
u195734ctg	FALSE	6	Rule 2
u2043327ctg	FALSE	6	Rule 2
u2086989ctg	FALSE	6	Rule 2
u2118348ctg	FALSE	6	Rule 2
u2176985ctg	FALSE	2	Rule 2
u2194729ctg	FALSE	7	Rule 2
u2212530ctg	FALSE	6	Rule 2
u2326017ctg	FALSE	7	Rule 2
u2399920ctg	FALSE	6	Rule 2
u2520302ctg	FALSE	6	Rule 2
u2568513ctg	FALSE	6	Rule 2
u2712678ctg	FALSE	7	Rule 2
u2778928ctg	FALSE	7	Rule 2
u278313ctg	FALSE	6	Rule 2
u2899904ctg	FALSE	6	Rule 2
u3021323ctg	FALSE	7	Rule 2
u3132467ctg	FALSE	6	Rule 2
u313865ctg	FALSE	6	Rule 2
u3166817ctg	FALSE	7	Rule 2
u3293539ctg	FALSE	6	Rule 2
u3368318ctg	FALSE	2	Rule 2
u3368720ctg	FALSE	7	Rule 2
u3455502ctg	FALSE	6	Rule 2
u348525ctg	FALSE	6	Rule 2
u3502615ctg	FALSE	7	Rule 2
u3513788ctg	FALSE	7	Rule 2
u3531125ctg	FALSE	7	Rule 2
u3591779ctg	FALSE	6	Rule 2
u3593552ctg	FALSE	2	Rule 2
u3662534ctg	FALSE	7	Rule 2
u366348ctg	FALSE	6	Rule 2
u3708645ctg	FALSE	6	Rule 2
u3920757ctg	FALSE	6	Rule 2
u3942668ctg	TRUE	7	Rule 7
u3959121ctg	FALSE	6	Rule 2
u4000441ctg	FALSE	6	Rule 2
u576938ctg	FALSE	7	Rule 2
u579948ctg	FALSE	6	Rule 2
u598261ctg	FALSE	6	Rule 2
u598341ctg	FALSE	6	Rule 2
u646294ctg	FALSE	6	Rule 2
u651212ctg	FALSE	6	Rule 2
u735446ctg	FALSE	6	Rule 2
u749713ctg	TRUE	7	Rule 7
u749886ctg	FALSE	6	Rule 2
u771575ctg	FALSE	6	Rule 2
u785650ctg	FALSE	6	Rule 2
u811210ctg	FALSE	6	Rule 2
u88731ctg	FALSE	7	Rule 2
u920218ctg	FALSE	6	Rule 2
