user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
u1041087ctg	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JBFMAE01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JBFMAE01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	13.92	11	0.89391	N/A
u1079443ctg	"d__Bacteria;p__Bacillota;c__UBA995;o__UBA995;f__UBA995;g__Ess09-15;s__Ess09-15 sp031082145"	GCA_031082145.1	95	"d__Bacteria;p__Bacillota;c__UBA995;o__UBA995;f__UBA995;g__Ess09-15;s__Ess09-15 sp031082145"	98.61	0.884	GCA_031082145.1	95	"d__Bacteria;p__Bacillota;c__UBA995;o__UBA995;f__UBA995;g__Ess09-15;s__Ess09-15 sp031082145"	98.61	0.884	"d__Bacteria;p__Bacillota;c__UBA995;o__UBA995;f__UBA995;g__;s__"	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.44	11	N/A	N/A
u1086562ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__Colwellbacteraceae;g__JALOAR01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__Colwellbacteraceae;g__JALOAR01;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63.22	11	0.94054	N/A
u1149710ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GWA2-46-15;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GWA2-46-15;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.78	11	0.81849	N/A
u1231097ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Portnoybacterales;f__GWB1-42-6;g__PEUE01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Portnoybacterales;f__GWB1-42-6;g__PEUE01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	29.67	11	0.97999	N/A
u1254344ctg	"d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__DRXL01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__RBG-16-55-9;f__DRXL01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	85.48	11	0.88764	N/A
u1255120ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.25	11	0.81156	N/A
u1340887ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
u1362141ctg	"d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.17	11	0.81584	N/A
u1362544ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__PFEM01;f__JAPLYW01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__PFEM01;f__JAPLYW01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.62	11	0.77153	N/A
