Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
u1005671ctg	50.78	0.6	Gradient Boost (General Model)	11	0.898	369779	272.11764705882354	369779	0.37	408	1	369779	None
u1022233ctg	95.41	0.4	Gradient Boost (General Model)	11	0.898	579125	233.5752688172043	579125	0.36	744	1	579125	None
u1027066ctg	89.94	2.92	Gradient Boost (General Model)	11	0.877	2063460	253.1410041841004	2063460	0.47	2390	1	2063460	None
u1041087ctg	11.27	0.02	Neural Network (Specific Model)	11	0.845	418151	274.61162790697676	418151	0.45	430	1	418151	None
u1047122ctg	91.01	0.21	Gradient Boost (General Model)	11	0.909	951847	253.5968448729185	951847	0.31	1141	1	951847	None
u1079443ctg	95.63	0.18	Gradient Boost (General Model)	11	0.909	2386020	311.4656357388316	2386020	0.67	2328	1	2386020	None
u1086562ctg	98.09	0.37	Gradient Boost (General Model)	11	0.857	555320	280.6684303	555320	0.38	567	1	555320	None
u1119075ctg	7.23	0	Neural Network (Specific Model)	11	0.886	222688	308.64953271028037	222688	0.54	214	1	222688	None
u1149710ctg	100	0.94	Gradient Boost (General Model)	11	0.886	692578	289.4287729196051	692578	0.45	709	1	692578	None
u1231097ctg	43.69	0.14	Neural Network (Specific Model)	11	0.854	379029	288.176	379029	0.44	375	1	379029	None
u1254344ctg	92.67	0.78	Gradient Boost (General Model)	11	0.897	2349005	272.99341850561365	2349005	0.55	2583	1	2349005	None
u1255120ctg	91.78	0.05	Gradient Boost (General Model)	11	0.926	1553924	322.2764390896921	1553924	0.39	1494	1	1553924	None
u1340887ctg	5.53	0	Neural Network (Specific Model)	11	0.897	240842	342.13270142180096	240842	0.63	211	1	240842	None
u1362141ctg	100	0.84	Neural Network (Specific Model)	11	0.928	1482835	320.0430855	1482835	0.37	1439	1	1482835	None
u1362544ctg	95.74	0.02	Gradient Boost (General Model)	11	0.903	826754	278.79799107142856	826754	0.4	896	1	826754	None
u1379490ctg	92.03	0.04	Gradient Boost (General Model)	11	0.923	1620612	323.88543689320386	1620612	0.39	1545	1	1620612	None
u1406723ctg	94.82	0.14	Gradient Boost (General Model)	11	0.919	1930030	338.50285388127855	1930030	0.54	1752	1	1930030	None
u1442673ctg	44.84	0.02	Gradient Boost (General Model)	11	0.87	176598	277.3891891891892	176598	0.3	185	1	176598	None
u1471385ctg	5.4	0.01	Neural Network (Specific Model)	11	0.772	218235	275.8284314	218235	0.35	204	1	218235	None
u1479617ctg	95.92	0.26	Gradient Boost (General Model)	11	0.934	1448395	337.54891710231516	1448395	0.53	1339	1	1448395	None
u1505661ctg	97.54	0.07	Gradient Boost (General Model)	11	0.871	685230	296.53640416047546	685230	0.31	673	1	685230	None
u1553704ctg	88.84	0.69	Gradient Boost (General Model)	11	0.903	836918	242.02105263157895	836918	0.31	1045	1	836918	None
u1558692ctg	99.95	0.42	Gradient Boost (General Model)	11	0.796	797037	283.89142091152814	797037	0.32	746	1	797037	None
u1614917ctg	81.74	4.75	Gradient Boost (General Model)	11	0.884	1752029	306.5840236686391	1752029	0.43	1690	1	1752029	None
u1630992ctg	96.11	0.07	Gradient Boost (General Model)	11	0.862	818801	269.6095890410959	818801	0.35	876	1	818801	None
u1662440ctg	100	0	Gradient Boost (General Model)	11	0.866	691286	296.46884272997033	691286	0.31	674	1	691286	None
u1678369ctg	95.34	0.28	Gradient Boost (General Model)	11	0.927	853034	288.07717391304345	853034	0.4	920	1	853034	None
u1778080ctg	32.59	0.18	Neural Network (Specific Model)	11	0.904	2312214	353.27603640040445	2312214	0.64	1978	1	2312214	None
u1822834ctg	92.32	1.75	Gradient Boost (General Model)	11	0.879	756301	215.38781431334624	756301	0.4	1034	1	756301	None
u1859167ctg	99.67	0.66	Gradient Boost (General Model)	11	0.921	2142282	334.09994926433285	2142282	0.44	1971	1	2142282	None
u1861380ctg	96.04	0.72	Gradient Boost (General Model)	11	0.916	2946431	366.1632156	2946431	0.4	2463	1	2946431	None
u1868123ctg	14.26	0	Neural Network (Specific Model)	11	0.922	113658	343.15686274509807	113658	0.4	102	1	113658	None
u1884261ctg	98.07	4.11	Gradient Boost (General Model)	11	0.876	2040805	269.98643147896877	2040805	0.45	2211	1	2040805	None
u1896906ctg	97.53	0.52	Gradient Boost (General Model)	11	0.925	970006	289.3815028901734	970006	0.36	1038	1	970006	None
u1914727ctg	68.73	0.13	Gradient Boost (General Model)	11	0.813	497137	279.58178053830227	497137	0.39	483	1	497137	None
u1926211ctg	95.19	0.08	Gradient Boost (General Model)	11	0.927	1120369	324.8003748828491	1120369	0.55	1067	1	1120369	None
u195734ctg	94.14	0.13	Gradient Boost (General Model)	11	0.922	793452	301.72592592592594	793452	0.4	810	1	793452	None
u2043327ctg	96.8	1.16	Gradient Boost (General Model)	11	0.898	1884800	298.1113456	1884800	0.48	1895	1	1884800	None
u2059106ctg	95.14	0.01	Gradient Boost (General Model)	11	0.903	896052	297.4477447744774	896052	0.4	909	1	896052	None
u2086989ctg	12.83	0	Neural Network (Specific Model)	11	0.816	113699	281.9818181818182	113699	0.44	110	1	113699	None
u2118348ctg	96.33	1.51	Gradient Boost (General Model)	11	0.847	649786	275.17664670658684	649786	0.39	668	1	649786	None
u2139748ctg	4.52	0.18	Neural Network (Specific Model)	11	0.84	125367	250.3546099	125367	0.45	141	1	125367	None
u2176985ctg	98.85	1.28	Gradient Boost (General Model)	11	0.871	2856793	337.8067535	2856793	0.43	2458	1	2856793	None
u2194729ctg	97.14	3.11	Gradient Boost (General Model)	11	0.858	3099997	279.29249136035185	3099997	0.41	3183	1	3099997	None
u2208502ctg	5.82	0.01	Neural Network (Specific Model)	11	0.879	137919	238.05847953216374	137919	0.3	171	1	137919	None
u2212530ctg	15.23	0.01	Neural Network (Specific Model)	11	0.864	519055	306.98975409836066	519055	0.54	488	1	519055	None
u2326017ctg	91.85	0.36	Gradient Boost (General Model)	11	0.95	2108894	351.52258403361344	2108894	0.48	1904	1	2108894	None
u2352106ctg	5.86	0	Neural Network (Specific Model)	11	0.752	208507	210.29083665338646	208507	0.6	251	1	208507	None
u2399920ctg	29.26	0.02	Neural Network (Specific Model)	11	0.9	328105	324.5	328105	0.41	304	1	328105	None
