Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ctg10973	100.0	5.31	Gradient Boost (General Model)	11	0.873	4445772	296.90148911798394	4445772	0.46	4365	1	4445772	None
ctg11110	95.23	0.08	Gradient Boost (General Model)	11	0.927	1120365	323.99719626168223	1120365	0.55	1070	1	1120365	None
ctg11788	96.85	0.19	Gradient Boost (General Model)	11	0.862	818844	268.6018202502844	818844	0.35	879	1	818844	None
ctg12262	7.77	0.0	Neural Network (Specific Model)	11	0.888	119165	237.96644295302013	119165	0.45	149	1	119165	None
ctg12678	96.32	0.27	Gradient Boost (General Model)	11	0.883	2246931	311.48426491310477	2246931	0.43	2129	1	2246931	None
ctg14948	5.95	0.0	Neural Network (Specific Model)	11	0.872	216408	303.46634615384613	216408	0.57	208	1	216408	None
ctg16833	98.67	4.15	Gradient Boost (General Model)	11	0.875	2040802	269.8543645409317	2040802	0.45	2211	1	2040802	None
ctg17160	11.85	0.01	Neural Network (Specific Model)	11	0.953	469725	231.64605873261206	469725	0.65	647	1	469725	None
ctg17894	88.84	0.69	Gradient Boost (General Model)	11	0.904	841648	242.27402473834442	841648	0.31	1051	1	841648	None
ctg189	18.1	0.08	Neural Network (Specific Model)	11	0.902	314310	292.90432098765433	314310	0.39	324	1	314310	None
ctg1911	16.25	0.0	Neural Network (Specific Model)	11	0.909	374210	332.08187134502924	374210	0.54	342	1	374210	None
ctg20961	96.28	0.04	Gradient Boost (General Model)	11	0.875	760508	281.9441624365482	760508	0.34	788	1	760508	None
ctg21348	16.59	0.54	Neural Network (Specific Model)	11	0.875	298663	235.42048517520215	298663	0.46	371	1	298663	None
ctg21564	97.66	1.26	Gradient Boost (General Model)	11	0.902	684067	231.62850729517396	684067	0.37	891	1	684067	None
ctg22760	91.01	0.2	Gradient Boost (General Model)	11	0.909	951831	252.61431064572426	951831	0.31	1146	1	951831	None
ctg23043	98.55	2.98	Gradient Boost (General Model)	11	0.867	948933	272.6987115956392	948933	0.36	1009	1	948933	None
ctg24900	100.0	0.3	Gradient Boost (General Model)	11	0.853	543057	278.9873873873874	543057	0.38	555	1	543057	None
ctg252	100.0	0.01	Gradient Boost (General Model)	11	0.872	549925	291.75409836065575	549925	0.39	549	1	549925	None
ctg26974	98.1	0.32	Gradient Boost (General Model)	11	0.864	1161020	286.10153583617745	1161020	0.29	1172	1	1161020	None
ctg27923	96.84	2.51	Gradient Boost (General Model)	11	0.929	1018966	305.90425531914894	1018966	0.42	1034	1	1018966	None
ctg28199	96.54	0.27	Gradient Boost (General Model)	11	0.923	1699033	353.0874831763123	1699033	0.39	1486	1	1699033	None
ctg28959	98.48	1.8	Gradient Boost (General Model)	11	0.891	2400822	339.98761904761903	2400822	0.47	2100	1	2400822	None
ctg29087	97.97	2.96	Gradient Boost (General Model)	11	0.871	945586	283.4119464469619	945586	0.35	971	1	945586	None
ctg30452	6.61	0.09	Neural Network (Specific Model)	11	0.891	198872	283.3636363636364	198872	0.35	209	1	198872	None
ctg31449	95.18	0.37	Gradient Boost (General Model)	11	0.897	577370	233.42048517520215	577370	0.36	742	1	577370	None
ctg3234	92.72	0.75	Gradient Boost (General Model)	11	0.906	802099	246.81522842639595	802099	0.35	985	1	802099	None
ctg32511	97.89	0.7	Gradient Boost (General Model)	11	0.871	2857279	337.5879723689557	2857279	0.43	2461	1	2857279	None
ctg33210	95.21	0.14	Gradient Boost (General Model)	11	0.899	887099	270.29352226720647	887099	0.4	988	1	887099	None
ctg35447	99.81	0.38	Gradient Boost (General Model)	11	0.796	788535	284.70380434782606	788535	0.32	736	1	788535	None
ctg36349	12.65	0.01	Neural Network (Specific Model)	11	0.871	251699	234.96794871794873	251699	0.45	312	1	251699	None
ctg36361	96.8	1.13	Gradient Boost (General Model)	11	0.898	1883549	298.2488114104596	1883549	0.48	1893	1	1883549	None
ctg39969	94.13	1.03	Gradient Boost (General Model)	11	0.924	793452	301.6490147783251	793452	0.4	812	1	793452	None
ctg41824	100.0	1.86	Gradient Boost (General Model)	11	0.871	1988411	273.31554085970714	1988411	0.43	2117	1	1988411	None
ctg42170	17.27	0.0	Neural Network (Specific Model)	11	0.862	116850	261.09302325581393	116850	0.35	129	1	116850	None
