user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
u1005671ctg	"d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__UBA284;g__EX4484-31;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__UBA284;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	28.76	11	0.82457	N/A
u1022233ctg	"d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__ASMP01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__ASMP01;s__"	taxonomic classification fully defined by topology	N/A	N/A	66.83	11	0.9367	N/A
u1027066ctg	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__DATETJ01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	84.83	11	0.8635	N/A
u1047122ctg	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	81.68	11	0.80959	N/A
u1119075ctg	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.5%)
u1479617ctg	"d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__JAVZCV01;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__;f__;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	96.48	11	0.62515	N/A
u1553704ctg	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	86.38	11	0.73221	N/A
u1822834ctg	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__DAIDAX01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	83.21	11	0.8711	N/A
u1884261ctg	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__DATHCB01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__DATHCB01;s__"	taxonomic classification fully defined by topology	N/A	N/A	92.17	11	0.90893	N/A
u1926211ctg	"d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JAHJBR01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JAHJBR01;s__"	taxonomic classification fully defined by topology	N/A	N/A	93.26	11	0.88877	N/A
u2059106ctg	"d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JBGFRY01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	90.95	11	0.87849	N/A
u2566882ctg	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	88.64	11	0.81956	N/A
u26899ctg	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.4%)
u3118255ctg	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__;s__"	taxonomic classification fully defined by topology	N/A	N/A	96.6	11	0.85829	N/A
u3457852ctg	"d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__JACPBV01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__JACPBV01;g__;s__"	taxonomic classification fully defined by topology	N/A	N/A	88.06	11	0.814	N/A
u472454ctg	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__;s__"	taxonomic novelty determined using RED	N/A	N/A	88.69	11	0.81162	N/A
